DateTimeID,DateTime,Year,Month,Day,Hour,DayOfWeek,MonthName,DayName
280,2023-01-12 15:00:00,2023,1,12,15,5,January,Thursday
281,2023-01-12 16:00:00,2023,1,12,16,5,January,Thursday
282,2023-01-12 17:00:00,2023,1,12,17,5,January,Thursday
283,2023-01-12 18:00:00,2023,1,12,18,5,January,Thursday
284,2023-01-12 19:00:00,2023,1,12,19,5,January,Thursday
285,2023-01-12 20:00:00,2023,1,12,20,5,January,Thursday
286,2023-01-12 21:00:00,2023,1,12,21,5,January,Thursday
287,2023-01-12 22:00:00,2023,1,12,22,5,January,Thursday
288,2023-01-12 23:00:00,2023,1,12,23,5,January,Thursday
289,2023-01-13 00:00:00,2023,1,13,0,6,January,Friday
290,2023-01-13 01:00:00,2023,1,13,1,6,January,Friday
291,2023-01-13 02:00:00,2023,1,13,2,6,January,Friday
292,2023-01-13 03:00:00,2023,1,13,3,6,January,Friday
293,2023-01-13 04:00:00,2023,1,13,4,6,January,Friday
294,2023-01-13 05:00:00,2023,1,13,5,6,January,Friday
295,2023-01-13 06:00:00,2023,1,13,6,6,January,Friday
296,2023-01-13 07:00:00,2023,1,13,7,6,January,Friday
297,2023-01-13 08:00:00,2023,1,13,8,6,January,Friday
298,2023-01-13 09:00:00,2023,1,13,9,6,January,Friday
299,2023-01-13 10:00:00,2023,1,13,10,6,January,Friday
300,2023-01-13 11:00:00,2023,1,13,11,6,January,Friday
301,2023-01-13 12:00:00,2023,1,13,12,6,January,Friday
302,2023-01-13 13:00:00,2023,1,13,13,6,January,Friday
303,2023-01-13 14:00:00,2023,1,13,14,6,January,Friday
304,2023-01-13 15:00:00,2023,1,13,15,6,January,Friday
305,2023-01-13 16:00:00,2023,1,13,16,6,January,Friday
306,2023-01-13 17:00:00,2023,1,13,17,6,January,Friday
307,2023-01-13 18:00:00,2023,1,13,18,6,January,Friday
308,2023-01-13 19:00:00,2023,1,13,19,6,January,Friday
309,2023-01-13 20:00:00,2023,1,13,20,6,January,Friday
310,2023-01-13 21:00:00,2023,1,13,21,6,January,Friday
311,2023-01-13 22:00:00,2023,1,13,22,6,January,Friday
312,2023-01-13 23:00:00,2023,1,13,23,6,January,Friday
313,2023-01-14 00:00:00,2023,1,14,0,7,January,Saturday
314,2023-01-14 01:00:00,2023,1,14,1,7,January,Saturday
315,2023-01-14 02:00:00,2023,1,14,2,7,January,Saturday
316,2023-01-14 03:00:00,2023,1,14,3,7,January,Saturday
317,2023-01-14 04:00:00,2023,1,14,4,7,January,Saturday
318,2023-01-14 05:00:00,2023,1,14,5,7,January,Saturday
319,2023-01-14 06:00:00,2023,1,14,6,7,January,Saturday
320,2023-01-14 07:00:00,2023,1,14,7,7,January,Saturday
321,2023-01-14 08:00:00,2023,1,14,8,7,January,Saturday
322,2023-01-14 09:00:00,2023,1,14,9,7,January,Saturday
323,2023-01-14 10:00:00,2023,1,14,10,7,January,Saturday
324,2023-01-14 11:00:00,2023,1,14,11,7,January,Saturday
325,2023-01-14 12:00:00,2023,1,14,12,7,January,Saturday
326,2023-01-14 13:00:00,2023,1,14,13,7,January,Saturday
327,2023-01-14 14:00:00,2023,1,14,14,7,January,Saturday
328,2023-01-14 15:00:00,2023,1,14,15,7,January,Saturday
329,2023-01-14 16:00:00,2023,1,14,16,7,January,Saturday
330,2023-01-14 17:00:00,2023,1,14,17,7,January,Saturday
331,2023-01-14 18:00:00,2023,1,14,18,7,January,Saturday
332,2023-01-14 19:00:00,2023,1,14,19,7,January,Saturday
333,2023-01-14 20:00:00,2023,1,14,20,7,January,Saturday
334,2023-01-14 21:00:00,2023,1,14,21,7,January,Saturday
335,2023-01-14 22:00:00,2023,1,14,22,7,January,Saturday
336,2023-01-14 23:00:00,2023,1,14,23,7,January,Saturday
337,2023-01-15 00:00:00,2023,1,15,0,1,January,Sunday
338,2023-01-15 01:00:00,2023,1,15,1,1,January,Sunday
339,2023-01-15 02:00:00,2023,1,15,2,1,January,Sunday
340,2023-01-15 03:00:00,2023,1,15,3,1,January,Sunday
341,2023-01-15 04:00:00,2023,1,15,4,1,January,Sunday
342,2023-01-15 05:00:00,2023,1,15,5,1,January,Sunday
343,2023-01-15 06:00:00,2023,1,15,6,1,January,Sunday
344,2023-01-15 07:00:00,2023,1,15,7,1,January,Sunday
345,2023-01-15 08:00:00,2023,1,15,8,1,January,Sunday
346,2023-01-15 09:00:00,2023,1,15,9,1,January,Sunday
347,2023-01-15 10:00:00,2023,1,15,10,1,January,Sunday
348,2023-01-15 11:00:00,2023,1,15,11,1,January,Sunday
349,2023-01-15 12:00:00,2023,1,15,12,1,January,Sunday
350,2023-01-15 13:00:00,2023,1,15,13,1,January,Sunday
351,2023-01-15 14:00:00,2023,1,15,14,1,January,Sunday
352,2023-01-15 15:00:00,2023,1,15,15,1,January,Sunday
353,2023-01-15 16:00:00,2023,1,15,16,1,January,Sunday
354,2023-01-15 17:00:00,2023,1,15,17,1,January,Sunday
355,2023-01-15 18:00:00,2023,1,15,18,1,January,Sunday
356,2023-01-15 19:00:00,2023,1,15,19,1,January,Sunday
357,2023-01-15 20:00:00,2023,1,15,20,1,January,Sunday
358,2023-01-15 21:00:00,2023,1,15,21,1,January,Sunday
359,2023-01-15 22:00:00,2023,1,15,22,1,January,Sunday
360,2023-01-15 23:00:00,2023,1,15,23,1,January,Sunday
361,2023-01-16 00:00:00,2023,1,16,0,2,January,Monday
362,2023-01-16 01:00:00,2023,1,16,1,2,January,Monday
363,2023-01-16 02:00:00,2023,1,16,2,2,January,Monday
364,2023-01-16 03:00:00,2023,1,16,3,2,January,Monday
365,2023-01-16 04:00:00,2023,1,16,4,2,January,Monday
366,2023-01-16 05:00:00,2023,1,16,5,2,January,Monday
367,2023-01-16 06:00:00,2023,1,16,6,2,January,Monday
368,2023-01-16 07:00:00,2023,1,16,7,2,January,Monday
369,2023-01-16 08:00:00,2023,1,16,8,2,January,Monday
370,2023-01-16 09:00:00,2023,1,16,9,2,January,Monday
371,2023-01-16 10:00:00,2023,1,16,10,2,January,Monday
372,2023-01-16 11:00:00,2023,1,16,11,2,January,Monday
373,2023-01-16 12:00:00,2023,1,16,12,2,January,Monday
374,2023-01-16 13:00:00,2023,1,16,13,2,January,Monday
375,2023-01-16 14:00:00,2023,1,16,14,2,January,Monday
376,2023-01-16 15:00:00,2023,1,16,15,2,January,Monday
377,2023-01-16 16:00:00,2023,1,16,16,2,January,Monday
378,2023-01-16 17:00:00,2023,1,16,17,2,January,Monday
379,2023-01-16 18:00:00,2023,1,16,18,2,January,Monday
380,2023-01-16 19:00:00,2023,1,16,19,2,January,Monday
381,2023-01-16 20:00:00,2023,1,16,20,2,January,Monday
382,2023-01-16 21:00:00,2023,1,16,21,2,January,Monday
383,2023-01-16 22:00:00,2023,1,16,22,2,January,Monday
384,2023-01-16 23:00:00,2023,1,16,23,2,January,Monday
385,2023-01-17 00:00:00,2023,1,17,0,3,January,Tuesday
386,2023-01-17 01:00:00,2023,1,17,1,3,January,Tuesday
387,2023-01-17 02:00:00,2023,1,17,2,3,January,Tuesday
388,2023-01-17 03:00:00,2023,1,17,3,3,January,Tuesday
389,2023-01-17 04:00:00,2023,1,17,4,3,January,Tuesday
390,2023-01-17 05:00:00,2023,1,17,5,3,January,Tuesday
391,2023-01-17 06:00:00,2023,1,17,6,3,January,Tuesday
392,2023-01-17 07:00:00,2023,1,17,7,3,January,Tuesday
393,2023-01-17 08:00:00,2023,1,17,8,3,January,Tuesday
394,2023-01-17 09:00:00,2023,1,17,9,3,January,Tuesday
395,2023-01-17 10:00:00,2023,1,17,10,3,January,Tuesday
396,2023-01-17 11:00:00,2023,1,17,11,3,January,Tuesday
397,2023-01-17 12:00:00,2023,1,17,12,3,January,Tuesday
398,2023-01-17 13:00:00,2023,1,17,13,3,January,Tuesday
399,2023-01-17 14:00:00,2023,1,17,14,3,January,Tuesday
400,2023-01-17 15:00:00,2023,1,17,15,3,January,Tuesday
401,2023-01-17 16:00:00,2023,1,17,16,3,January,Tuesday
402,2023-01-17 17:00:00,2023,1,17,17,3,January,Tuesday
403,2023-01-17 18:00:00,2023,1,17,18,3,January,Tuesday
404,2023-01-17 19:00:00,2023,1,17,19,3,January,Tuesday
405,2023-01-17 20:00:00,2023,1,17,20,3,January,Tuesday
406,2023-01-17 21:00:00,2023,1,17,21,3,January,Tuesday
407,2023-01-17 22:00:00,2023,1,17,22,3,January,Tuesday
408,2023-01-17 23:00:00,2023,1,17,23,3,January,Tuesday
409,2023-01-18 00:00:00,2023,1,18,0,4,January,Wednesday
410,2023-01-18 01:00:00,2023,1,18,1,4,January,Wednesday
411,2023-01-18 02:00:00,2023,1,18,2,4,January,Wednesday
412,2023-01-18 03:00:00,2023,1,18,3,4,January,Wednesday
413,2023-01-18 04:00:00,2023,1,18,4,4,January,Wednesday
414,2023-01-18 05:00:00,2023,1,18,5,4,January,Wednesday
415,2023-01-18 06:00:00,2023,1,18,6,4,January,Wednesday
416,2023-01-18 07:00:00,2023,1,18,7,4,January,Wednesday
417,2023-01-18 08:00:00,2023,1,18,8,4,January,Wednesday
